keys,fr
material.acier_damasse.name,"Acier damassé"
material.fonte.name,"Fonte"
material.porcelaine.name,"Porcelaine"
material.cire.name,"Cire"
material.poix.name,"Poix"
material.charbon_de_bois.name,"Charbon de bois"
material.feutre.name,"Feutre"
material.cuir_bouilli.name,"Cuir bouilli"
material.boyau.name,"Boyau"
material.crin.name,"Crin"
material.plume.name,"Plume"
material.tendon.name,"Tendon"
material.corne.name,"Corne"
material.laiton.name,Laiton
material.fer.name,Fer
material.acier.name,Acier
material.acier_trempe.name,Acier trempé
material.argent.name,Argent
material.or.name,Or
material.platine.name,Platine
material.plomb.name,Plomb
material.nickel.name,Nickel
material.cobalt.name,Cobalt
material.titane.name,Titane
material.tungstene.name,Tungstène
material.aluminium.name,Aluminium (bauxite)
material.chrome.name,Chrome (chromite)
material.manganese.name,Manganèse
material.bismuth.name,Bismuth
material.antimoine.name,Antimoine
material.pierre.name,Pierre
material.granit.name,Granit
material.granit_noir.name,Granit noir (gabbro)
material.diorite.name,Diorite
material.andesite.name,Andésite
material.calcaire.name,Calcaire
material.dolomie.name,Dolomie
material.craie.name,Craie
material.marbre.name,Marbre
material.quartzite.name,Quartzite
material.schiste.name,Schiste
material.gneiss.name,Gneiss
material.basalte.name,Basalte
material.tuf_volcanique.name,Tuf volcanique
material.pierre_ponce.name,Pierre ponce
material.obsidienne.name,Obsidienne
material.silex.name,Silex
material.gres.name,Grès
material.ardoise.name,Ardoise
material.gypse.name,Gypse
material.rhyolite.name,Rhyolite
material.peridotite.name,Péridotite
material.serpentinite.name,Serpentinite
material.travertin.name,Travertin
material.conglomerat.name,Conglomérat
material.breche_volcanique.name,Brèche volcanique
material.kimberlite.name,Kimberlite
material.calcite.name,Calcite (spath)
material.houille.name,Houille
material.lignite.name,Lignite
material.anthracite.name,Anthracite
material.soufre.name,Soufre
material.salpetre.name,Salpêtre
material.sel_gemme.name,Sel gemme
material.graphite.name,Graphite
material.mica.name,Mica
material.pyrite.name,Pyrite
material.malachite.name,Malachite
material.argile_refractaire.name,Argile réfractaire
material.guano.name,Guano/salpêtre de grotte
material.tourbe_compactee.name,Tourbe compactée
material.bitume.name,Bitume
material.cinabre.name,Cinabre
material.ocre.name,Ocre
material.lapis_lazuli.name,Lapis-lazuli
material.turquoise.name,Turquoise
material.ambre.name,Ambre
material.fluorine.name,Fluorine
material.amiante.name,Amiante
material.phosphorite.name,Phosphorite
material.quartz.name,Quartz
material.amethyste.name,Améthyste
material.topaze.name,Topaze
material.grenat.name,Grenat
material.opale.name,Opale
material.jade.name,Jade
material.rubis.name,Rubis
material.saphir.name,Saphir
material.emeraude.name,Émeraude
material.diamant.name,Diamant
material.onyx.name,Onyx
material.terre.name,Terre
material.terre_fertile.name,Terre fertile
material.tourbe.name,Tourbe
material.sable.name,Sable
material.argile.name,Argile
material.gravier.name,Gravier
material.lin.name,Lin
material.coton.name,Coton
material.paille.name,Paille
material.chanvre.name,Chanvre
material.laine.name,Laine
material.soie.name,Soie
material.cuir.name,Cuir
material.fourrure.name,Fourrure
material.eau.name,Eau
material.eau_salee.name,Eau salée
material.lave.name,Lave
material.huile.name,Huile
material.goudron.name,Goudron
material.boue.name,Boue
material.seve.name,Sève
material.os_fossile.name,Os fossile
material.ammonite.name,Ammonite
material.bois_petrifie.name,Bois pétrifié
material.coquillage_fossile.name,Coquillage fossile
material.geode.name,Géode
material.meteorite_ferreuse.name,Météorite ferreuse
material.glace.name,Glace
material.neige.name,Neige
material.verre.name,Verre
material.brique.name,Brique
material.chaume_tresse.name,Chaume tressé
material.papier.name,Papier
material.os.name,Os
material.os_massif.name,Os massif
# --- fin matériaux ---
# --- cultures de nommage (tools/gen_name_cultures.py) ---
titre.latine.monarchie_hereditaire.m,Roi
titre.latine.monarchie_hereditaire.f,Reine
titre.latine.republique.m,Consul
titre.latine.republique.f,Consule
titre.latine.theocratie.m,Grand Pontife
titre.latine.theocratie.f,Grande Pontife
titre.latine.ploutocratie.m,Magnat
titre.latine.ploutocratie.f,Magnate
titre.latine.dictature.m,Imperator
titre.latine.dictature.f,Imperatrix
titre.latine.guilde_maitre.m,Grand Maître
titre.latine.guilde_maitre.f,Grande Maîtresse
culture.latine.name,Latine/romane
titre.nordique.monarchie_hereditaire.m,Haut-Roi
titre.nordique.monarchie_hereditaire.f,Haute-Reine
titre.nordique.republique.m,Premier Jarl
titre.nordique.republique.f,Première Jarl
titre.nordique.theocratie.m,Godi
titre.nordique.theocratie.f,Gydja
titre.nordique.ploutocratie.m,Maître des Guildes
titre.nordique.ploutocratie.f,Maîtresse des Guildes
titre.nordique.dictature.m,Seigneur de Guerre
titre.nordique.dictature.f,Dame de Guerre
titre.nordique.guilde_maitre.m,Grand Maître
titre.nordique.guilde_maitre.f,Grande Maîtresse
culture.nordique.name,Nordique/germanique
titre.nipponne.monarchie_hereditaire.m,Empereur
titre.nipponne.monarchie_hereditaire.f,Impératrice
titre.nipponne.republique.m,Chancelier
titre.nipponne.republique.f,Chancelière
titre.nipponne.theocratie.m,Grand Kannushi
titre.nipponne.theocratie.f,Grande Miko
titre.nipponne.ploutocratie.m,Marchand Suprême
titre.nipponne.ploutocratie.f,Marchande Suprême
titre.nipponne.dictature.m,Shōgun
titre.nipponne.dictature.f,Shōgun
titre.nipponne.guilde_maitre.m,Grand Maître
titre.nipponne.guilde_maitre.f,Grande Maîtresse
culture.nipponne.name,Nipponne
titre.slave.monarchie_hereditaire.m,Tsar
titre.slave.monarchie_hereditaire.f,Tsarine
titre.slave.republique.m,Starosta
titre.slave.republique.f,Starosta
titre.slave.theocratie.m,Patriarche
titre.slave.theocratie.f,Matriarche
titre.slave.ploutocratie.m,Boyard des Marchés
titre.slave.ploutocratie.f,Boyarde des Marchés
titre.slave.dictature.m,Voïvode
titre.slave.dictature.f,Voïvode
titre.slave.guilde_maitre.m,Grand Maître
titre.slave.guilde_maitre.f,Grande Maîtresse
culture.slave.name,Slave
titre.arabo_berbere.monarchie_hereditaire.m,Sultan
titre.arabo_berbere.monarchie_hereditaire.f,Sultane
titre.arabo_berbere.republique.m,Cheikh du Conseil
titre.arabo_berbere.republique.f,Cheikha du Conseil
titre.arabo_berbere.theocratie.m,Calife
titre.arabo_berbere.theocratie.f,Califa
titre.arabo_berbere.ploutocratie.m,Grand Vizir des Marchés
titre.arabo_berbere.ploutocratie.f,Grande Vizir des Marchés
titre.arabo_berbere.dictature.m,Émir de Guerre
titre.arabo_berbere.dictature.f,Émira de Guerre
titre.arabo_berbere.guilde_maitre.m,Grand Maître
titre.arabo_berbere.guilde_maitre.f,Grande Maîtresse
culture.arabo_berbere.name,Arabo-berbère
titre.celte.monarchie_hereditaire.m,Haut-Roi
titre.celte.monarchie_hereditaire.f,Haute-Reine
titre.celte.republique.m,Brehon
titre.celte.republique.f,Brehon
titre.celte.theocratie.m,Archidruide
titre.celte.theocratie.f,Archidruidesse
titre.celte.ploutocratie.m,Prince des Foires
titre.celte.ploutocratie.f,Princesse des Foires
titre.celte.dictature.m,Champion-Régent
titre.celte.dictature.f,Championne-Régente
titre.celte.guilde_maitre.m,Grand Maître
titre.celte.guilde_maitre.f,Grande Maîtresse
culture.celte.name,Celte
titre.sino.monarchie_hereditaire.m,Empereur
titre.sino.monarchie_hereditaire.f,Impératrice
titre.sino.republique.m,Chancelier
titre.sino.republique.f,Chancelière
titre.sino.theocratie.m,Grand Prêtre
titre.sino.theocratie.f,Grande Prêtresse
titre.sino.ploutocratie.m,Grand Marchand
titre.sino.ploutocratie.f,Grande Marchande
titre.sino.dictature.m,Généralissime
titre.sino.dictature.f,Généralissime
titre.sino.guilde_maitre.m,Grand Maître
titre.sino.guilde_maitre.f,Grande Maîtresse
culture.sino.name,Sino
# --- fin cultures ---
recipe.distiller_herbe.name,Distiller une herbe
recipe.distiller_partie.name,Distiller une partie de bête
journal.embuscade,{att} surprend {def} : +{des} dés
ui.ecran.triche,"TRICHE (V) — tout obtenir, tout déclencher · invincible : {invincible}"
ui.ecran.triche_liste,"TRICHE — {quoi} (Entrée : donner / déclencher · Échap : retour)"
ui.triche.oui,oui
ui.triche.non,non
ui.triche.or,+10 000 or
ui.triche.soin,"Tout restaurer (PV, vigueur, mana, faim, statuts)"
ui.triche.invincible,Invincibilité (bascule)
ui.triche.competences,Toutes les compétences au niveau 50
ui.triche.talents,Tous les talents
ui.triche.modules,Tous les modules de capacité
ui.triche.recettes,Toutes les recettes
ui.triche.heure,Basculer jour / nuit
ui.triche.semaine,Avancer d'une semaine
ui.triche.reveler,Révéler la carte autour (40 cellules)
ui.triche.claim,Revendiquer cette cellule
ui.triche.tuer,Tuer tous les hostiles autour
ui.triche.objet,Un objet (exceptionnel)
ui.triche.materiau,Un matériau (×20)
ui.triche.creature,Faire apparaître une créature
ui.triche.meteo,Imposer une météo
ui.triche.statut,S'appliquer un statut
ui.triche.race,Devenir une race
journal.triche,"Triche : {action}"
nom.de_creature,{base} de {creature}
item.parchemin.name,Parchemin
nom.parchemin,"Parchemin de {module} ({charges} charge(s))"
journal.parchemin,"{nom} lit un parchemin — {charges} charge(s) restante(s)"
journal.parchemin_use,"le parchemin tombe en poussière"
journal.parchemin_illisible,"{nom} ne parvient pas à lire ce parchemin"
ui.hotbar.parchemin,"{nom} ({n})"
nom.matiere_espece,"{materiau} de {creature}"
journal.statue,Une statue de {nom} tombe — trophée rare
journal.bourse,"{nom} ramasse {or} pièces"
status.seve.name,Sève
status.aveugle.name,Aveuglé
status.silence.name,Silence
status.epuisement.name,Épuisement
status.ancrage.name,Ancrage
status.reflet.name,Reflet
status.voile.name,Voile
monnaie.mana,mana
monnaie.vigueur,vigueur
monnaie.sante,PV
monnaie.or,or
journal.monnaie_bloquee,"{nom} ne peut plus puiser dans son {monnaie}"
journal.voile_esquive,"Le voile de {nom} absorbe le coup et se dissipe"
journal.reflet,"Le reflet de {nom} renvoie {degats} à {att}"
zone.entrave,Racines
zone.blessure,Sol vif
zone.glissante,Nappe glissante
zone.brume,Voile de brume
zone.balise,Balise
journal.zone_posee,"{nom} pose : {zone}"
journal.zone_blesse,"{nom} traverse le sol vif : {degats}"
journal.glisse,"{nom} glisse sur la nappe"
journal.tourelle_posee,"{nom} déploie {n} tourelle(s)"
journal.pas_de_cadavre,"{nom} ne trouve aucun cadavre à relever"
journal.echo_de_chair,"{nom} appelle {n} écho(s) de chair"
status.envol.name,Envol
status.trempe.name,Trempe
status.rupture.name,Rupture
status.traque.name,Traque
journal.purge,"{nom} est délivré de : {statut}"
journal.ponction,"{nom} ponctionne {mana} de mana à {def}"
journal.transfert,"{nom} transfère {pv} PV à {def}"
status.absorption.name,Absorption
status.communion.name,Communion
status.ecaille_elementaire.name,Écaille élémentaire
status.reserve.name,Réserve
status.pari.name,Pari
zone.portail,Portail
zone.vapeur,Vapeur
journal.absorption,"Le matelas de {nom} encaisse {degats}"
journal.communion,"{nom} prend {degats} à la place de {def}"
journal.ecaille,"L'écaille de {nom} annule l'élément {element}"
journal.reserve,"La réserve de {nom} se libère : {soin}"
journal.pari,"{nom} relance : {jet}"
journal.desarmement,"{nom} lâche son arme : {objet}"
journal.desarmement_rate,"{nom} garde son arme"
journal.estimation,"{nom} — {pv} PV · {stats} · {element}"
journal.rappel_a_la_vie,"{nom} rappelle {def} à la vie"
journal.portail_traverse,"{nom} traverse le portail"
ui.composer.degats,"Dégâts attendus : {min}–{max}  ({des} + {bonus} dés · ×{mult})"
ui.composer.elements,"Éléments : {liste}"
ui.composer.condition,"Condition {nom} : {predicat} → {bonus}"
ui.composer.modificateurs,"Modificateurs : {liste}"
ui.composer.liaisons,"Liaisons : {liste}"
ui.composer.avertissements,"Non résolu : {liste}"
geometrie.point,point
geometrie.soi,soi
geometrie.ligne,ligne
geometrie.cone,cône
geometrie.carre,carré
geometrie.anneau,anneau
geometrie.couronne,couronne
geometrie.croix,croix
geometrie.diagonale,diagonale
geometrie.colonne,colonne
geometrie.mur,mur
geometrie.nuee,nuée
geometrie.sillage,sillage
geometrie.chemin,chemin
geometrie.horizon,horizon
geometrie.tuile,tuile
geometrie.vague,vague
effet.degats,dégâts
effet.soin,soin
effet.statut,statut
effet.terrain,terrain
effet.deplacement,déplacement
effet.invocation,invocation
effet.tempo,tempo
effet.saisie,saisie
effet.resurrection,résurrection
effet.ressource,ressource
drapeau.ignore_armure,ignore l'armure
drapeau.vampirique,vampirique
drapeau.durees_mult,durées ×
drapeau.projection,projection
drapeau.attraction,attraction
drapeau.segments,segments
drapeau.purification,purification
drapeau.silencieux,silencieux
drapeau.sans_trace,sans trace
drapeau.detonation,détonation
drapeau.emprise,emprise
drapeau.tracant,traçant
drapeau.prisme,prisme
drapeau.element_vers,transmutation
drapeau.geometrie_map,évasement
drapeau.canalisation,canalisation
drapeau.enchainement,enchaînement
drapeau.fragmentation,fragmentation
drapeau.ligature,ligature
drapeau.remanence,rémanence
drapeau.ricochet,ricochet
drapeau.miroir,miroir
drapeau.partage,partage
drapeau.salve,salve
drapeau.meute,meute
drapeau.alternance,alternance
drapeau.dispersion,dispersion
drapeau.propagation,propagation
drapeau.boucle,boucle
drapeau.contagion,contagion
drapeau.echo,écho
predicat.hauteur_relative,en surplomb
predicat.dos_ou_flanc,de dos ou de flanc
predicat.ligne_de_vue_degagee,ligne de vue dégagée
predicat.cible_isolee,cible isolée
predicat.cible_adjacente_a_allie,cible au contact d'un allié
predicat.pv_cible_sous,PV de la cible bas
predicat.pv_porteur_sous,PV du porteur bas
predicat.vecteur_de_lieu,le lieu porte l'élément
predicat.porteur_en_posture,porteur en garde
predicat.jauge_chaine_pleine,jauge de chaîne pleine
predicat.segment_chaine_present,un segment en jauge
predicat.element_cible,élément de la cible
predicat.porteur_immobile_depuis,porteur immobile
predicat.corruption_au_dessus,cellule corrompue
predicat.phase_du_jour,la nuit
predicat.meteo_parmi,intempérie
predicat.porteur_dissimule,porteur dissimulé
predicat.cible_immobilisee,cible immobilisée
bonus.des,dés
bonus.ticks,ticks
bonus.portee,portée
bonus.taille,taille
bonus.mult,×
bonus.ressource_mult,ressource ×
journal.bombes_posees,"{nom} pose {n} charge(s), amorcées dans {retard} ticks"
type_module.forme,Formes
type_module.portee,Portées
type_module.noyau,Noyaux
type_module.modificateur,Modificateurs
type_module.condition,Conditions
type_module.declencheur,Déclencheurs
type_module.liaison,Liaisons
origine.cible,à distance
origine.lanceur,depuis soi
status.levite.name,Lévitation
status.au_sol.name,À terre
zone.ancre,Ancre
journal.convocation,"{nom} attire {allie} à ses côtés"
journal.rien_a_lancer,"{nom} n'a personne à lancer"
journal.pas_d_ancre,"{nom} n'a pas posé d'ancre"
journal.retour_ancre,"{nom} revient à son ancre"
journal.levite,"{nom} décolle du sol"
journal.fauche,"{nom} tombe à terre"
journal.fauchage_rate,"{def} résiste au fauchage de {nom}"
journal.se_releve,"{nom} se relève"
journal.ecaille_revers,"L'écaille de {nom} cède à l'élément {element}"
ui.composer.contribution,"Ce module ajoute : {liste}"
ui.composer.contribution_nulle,"Ce module n’ajoute rien à cette séquence"
ui.composer.cout,"Coût réel : {min}–{max} {monnaie} · affinité de l’arme ({arme}) ×{affinite}"
functionality.mains_nues.name,Mains nues
barre.sante,Vie
barre.vigueur,Vigueur
barre.mana,Mana
barre.faim,Faim
barre.charge,Charge
ui.chargement,"Chargement — cellule ({x}, {y}) · {biome}"
ui.composer.surface,"Par tuile : {n} tuiles à la visée nominale → {min}–{max} {monnaie} en tout"
ui.capacite.surface,"{n} tuiles → {min}–{max} {monnaie}"
ui.ecran.titre,"SENSEN"
ui.titre.nouvelle,Nouvelle partie
ui.titre.continuer,Continuer
ui.titre.charger,Charger…
ui.titre.options,Options…
ui.titre.quitter,Quitter
ui.titre.d_nouvelle,"Créer un personnage, puis un monde, puis choisir sa case de départ."
ui.titre.d_continuer,"Reprendre la dernière sauvegarde."
ui.titre.charger,"Charger"
ui.titre.d_charger,"Charger une partie"
ui.charger.ecrit_le,"Sauvegardée le {date} ({slot})"
ui.charger.corruption,"Corruption au camp : {n} %"
ui.charger.monde,"Monde {graine} · {vues} cellules parcourues · {claims} revendiquées · {villages} villages connus"
ui.charger.en_donjon,"En expédition, étage {etage}"
ui.charger.en_surface,"En surface"
ui.charger.ou,"{ou} · biome du camp : {biome}"
ui.charger.temps,"Jour {jour}, {heure} h · {saison}"
ui.charger.corps,"{pv}/{pv_max} PV · {or} or · {sac} objets au sac"
ui.charger.perso,"{nom} — {race} {classe}, niveau {niveau}"
ui.charger.illisible,"Sauvegarde « {slot} » illisible : elle vient d’une version trop ancienne."
ui.charger.ligne,"{nom} — {classe} niv. {niveau} — jour {jour}"
ui.charger.ligne_muette,"{slot} — partie d’avant les résumés"
ui.charger.aucune,"(aucune partie)"
ui.ecran.charger,"Charger"
ui.titre.d_charger,"Choisir une sauvegarde."
ui.titre.d_options,"Langue, plein écran."
ui.titre.d_quitter,"Fermer le jeu."
ui.ecran.monde,"CRÉATION DU MONDE — Entrée : valider · Échap : retour"
ui.monde.graine,"Graine du monde : {graine} (Entrée : re-tirer)"
ui.monde.d_graine,"La graine décide de tout le monde : continents, biomes, royaumes, donjons. Deux parties à graines différentes n'ont rien en commun."
ui.monde.commencer,Commencer
ui.monde.d_commencer,"Le monde est généré ; la carte s'ouvre pour choisir sa case de départ."
ui.monde.retour,Retour
ui.ecran.options,OPTIONS
ui.options.langue,"Langue : {langue} (Entrée : changer)"
ui.options.d_langue,"Français / English, à chaud."
ui.options.plein_ecran,"Plein écran : {etat}"
ui.options.retour,Retour
ui.menu.titre,Retour à l'écran principal
ui.composer.taille_courte,taille
journal.epuisement,"{nom} s’épuise : {deficit} de vigueur manquants, {degats} PV"
ui.composer.telegraphe,"⚠ {ticks} ticks : au-delà de {seuil}, le sort est télégraphié — visible de tous, interruptible"
ui.apercu.vide,"Aperçu : ajoutez une forme et un noyau"
ui.apercu.tuiles,"{n} tuiles · {origine} · portée {portee} · visée nominale vers le nord"
ui.apercu.horizon,"Horizon : toutes les entités en vue"
ui.composeur.nom,"Nom du sort :"
ui.composeur.nom_auto,"(le nom du noyau)"
ui.composeur.slot_vide,"glisser ici"
ui.composeur.aide,"— glisser une carte dans la grille · R : tourner · + / − : le cran de puissance · clic droit ou Suppr : retirer · pas de sens de lecture : seul compte ce qui rentre · Tab : l’étape suivante · N : une étape de plus (il faut un déclencheur)"
ui.composeur.glisser,"Glissez une portée, une forme et un noyau dans la grille — ou Entrée sur une carte."
ui.composeur.wuxing,"{dominante} domine · engendre {engendre} · domine {domine}"
ui.composeur.wuxing_vide,"Wu Xing du sort : —"
ui.composeur.groupe.portee,Portée
ui.composeur.etape,"Étape {n}"
ui.composeur.etape_aide,"Une étape de plus part du déclencheur de la précédente — il en faut un"
ui.composeur.groupe.forme,Formes
ui.composeur.groupe.noyau,Noyaux
ui.composeur.groupe.modificateur,Modificateurs
ui.composeur.groupe.condition,Conditions
ui.composeur.groupe.liaison,Liaisons
ui.composeur.groupe.declencheur,Déclencheur
ui.composeur.groupe.suite,"Suite (après le déclencheur)"
ui.composeur.wuxing_legende,"→ engendre · ⇢ domine"
ui.apercu.tuiles_souris,"{n} tuiles · {origine} · portée {portee} · visée : la souris"
style.assaut.name,Assaut
style.controle.name,Contrôle
style.soutien.name,Soutien
style.mobilite.name,Mobilité
style.terrain.name,Terrain
style.ruse.name,Ruse
style.neutre.name,Neutre
ui.composeur.filtre_tous,Tous
ui.composeur.style,"Style du sort : {liste}"
ui.composeur.style_neutre,"Style du sort : —"
journal.xp,"XP : {liste}"
xp.encaissement,Encaissement
ui.bulle.pv,"{nom} · {pv}/{max} PV"
ui.bulle.arme,"Arme : {min}–{max} · lourde {lmin}–{lmax}"
ui.bulle.wuxing,"{element} contre {cible} ×{dom}"
ui.bulle.armure,"Zone {zone} ×{mult} · armure {armure}"
ui.critique,"CRITIQUE ×{mult}"
ui.rate,RATÉ
journal.poussee_choc,"{nom} bute : {degats} dégâts ({tuiles} tuiles perdues)"
module.alignement.name,Alignement
journal.piege_revele,"{nom} déclenche un piège caché ({zone})"
status.marque.name,Marque
module.marque.name,Marque
module.marquee.name,Marquée
module.erosif.name,Érosif
journal.erosion,"{nom} est érodé : −{pv} PV max ({max})"
creature.echo_de_chair.name,Écho de chair
creature.feu_follet.name,Feu follet
creature_action.flammeche.name,Flammèche
module.feu_follet.name,Feu follet
tile_content.porte_fermee.name,Porte fermée
option.porte,Ouvrir / fermer la porte
journal.porte_ouverte,"{nom} ouvre une porte"
journal.porte_fermee,"{nom} ferme une porte"
creature.bandit_archer.name,Bandit archer
creature.chaman_bandit.name,Chaman bandit
creature.guerisseur_bandit.name,Guérisseur bandit
creature.brute.name,Brute
creature.rodeur.name,Rôdeur
creature.rat_geant.name,Rat géant
creature.chauve_souris.name,Chauve-souris
creature_action.tir_a_l_arc.name,Tir à l'arc
creature_action.onguent.name,Onguent
creature_action.appel_des_follets.name,Appel des follets
creature_action.coup_de_masse.name,Coup de masse
creature_action.morsure_de_rat.name,Morsure de rat
creature_action.morsure_de_chauve_souris.name,Morsure de chauve-souris
ai_profile.tireur.name,Tireur
ai_profile.invocateur.name,Invocateur
ai_profile.soigneur.name,Soigneur
ai_profile.tank.name,Tank
ai_profile.embusqueur.name,Embusqueur
ai_profile.fuyard.name,Fuyard
journal.invocation_creature,{nom} : {action} — {n} créature(s) appelée(s)
ui.ecran.creation,CRÉATION DU PERSONNAGE
ui.creation.nom_l,Nom : {nom}
ui.creation.nom_vide,(tapez un nom)
ui.creation.race_l,Race : {race}
ui.creation.classe_l,Classe : {classe}
ui.creation.annee_l,Née en {annee} — signe {element}-{animal}
ui.creation.points_l,Points à répartir : {restants} / {total}
ui.creation.stat_l,{stat} : {valeur} (+{points})
ui.creation.commencer,Commencer
ui.creation.d_nom,"Le nom du personnage — tapez les lettres, Retour arrière efface ({max} lettres au plus). Sans nom, il s'appellera Aventurier."
ui.creation.talent_classe,Talent de classe : {talent}
ui.creation.bonus,Bonus de stats : {bonus}
ui.creation.xp_mult,XP × {mult} · espérance de vie {vie} ans
ui.creation.d_race,"La race donne son talent, ses bonus et son rythme d'apprentissage."
ui.creation.competences_l,Compétences de départ : {liste}
ui.creation.potentiels_l,Potentiels : {defaut} par défaut · {liste}
ui.creation.kit_l,Kit de départ : {liste}
ui.creation.d_classe,"La classe donne son talent, ses compétences, son équipement et ses potentiels — tout le reste s'apprend par l'usage."
ui.creation.d_annee,"L'année de naissance fixe le signe astrologique, qui colore les potentiels (← →)."
ui.creation.d_points,"Chaque stat part de 5 ; jusqu'à {max} points par stat, plus les bonus de race et de classe."
ui.creation.d_commencer,"Valider le personnage, puis choisir le monde (graine) et la case de départ."
ui.creation.aide2,← → ou + / − : modifier · ↑ ↓ : ligne · Entrée : suivant / valider · Échap : retour
stat.force.desc,"Force : les dégâts des armes lourdes, le poids porté, creuser."
stat.dexterite.desc,"Dextérité : la précision, l'esquive, les armes légères et le tir."
stat.endurance.desc,"Endurance : les points de vie (20 + End × 4), l'endurance d'action, la marche."
stat.volonte.desc,"Volonté : le mana, la résistance aux contrôles, la magie."
stat.perception.desc,"Perception : la portée de vue et de détection, la récolte, le tir."
stat.charisme.desc,"Charisme : le commerce, les compagnons, les réputations."
ui.inventaire.col_nom,Nom
ui.inventaire.col_type,Type
ui.inventaire.col_qualite,Qualité
ui.inventaire.col_poids,Poids
ui.inventaire.col_quantite,Qté
journal.mort_or,{nom} laisse {or} pièces d'or dans la mort
journal.faim_conseil,{nom} a l'estomac qui gronde — il faudrait manger
item.livre_module.name,Livre de module
nom.livre_module,"Livre : {module} (difficulté {difficulte})"
nom.livre,"{base} {domaine} (difficulté {difficulte}, {n} modules)"
ui.creation.depart_l,"Départ : {lieu} (← →)"
ui.creation.depart_camp,au camp
ui.creation.depart_donjon,dans un donjon
ui.hotbar.glisser,HOTBAR — glissez un objet ou une capacité dans une case · clic droit : vider
creature.serpent_geant.name,Serpent géant
creature.araignee_geante.name,Araignée géante
creature.sangsue_geante.name,Sangsue géante
creature.aigle_royal.name,Aigle royal
creature.scarabee_cuirasse.name,Scarabée cuirassé
rig.serpentin.name,Serpentin
rig.arachnide.name,Arachnide
creature.kappa.name,Kappa
creature.kitsune.name,Kitsune
creature.tsuchigumo.name,Tsuchigumo
creature.basilic.name,Basilic
creature.griffon.name,Griffon
creature.golem_d_argile.name,Golem d'argile
ui.creation.app_l,"{locus} : {valeur} (← →)"
ui.apparence.tete,"Tête"
ui.apparence.yeux,"Yeux"
ui.apparence.nez,"Nez"
ui.apparence.bouche,"Bouche"
ui.apparence.cheveux,"Cheveux"
ui.apparence.carrure,"Carrure"
ui.apparence.teinte_peau,"Teint"
ui.apparence.teinte_cheveux,"Couleur des cheveux"
ui.apparence.val.ronde,"ronde"
ui.apparence.val.ovale,"ovale"
ui.apparence.val.carree,"carrée"
ui.apparence.val.points,"en points"
ui.apparence.val.fentes,"en fentes"
ui.apparence.val.grands,"grands"
ui.apparence.val.droit,"droit"
ui.apparence.val.crochu,"crochu"
ui.apparence.val.plat,"plat"
ui.apparence.val.fine,"fine"
ui.apparence.val.large,"large"
ui.apparence.val.sourire,"en sourire"
ui.apparence.val.courts,"courts"
ui.apparence.val.longs,"longs"
ui.apparence.val.queue,"en queue"
ui.apparence.val.chauve,"chauve"
ui.apparence.val.mince,"mince"
ui.apparence.val.moyenne,"moyenne"
ui.apparence.val.ivoire,"ivoire"
ui.apparence.val.sable,"sable"
ui.apparence.val.ambre,"ambre"
ui.apparence.val.bronze,"bronze"
ui.apparence.val.ebene,"ébène"
ui.apparence.val.cendre,"cendre"
ui.apparence.val.corbeau,"corbeau"
ui.apparence.val.chataigne,"châtaigne"
ui.apparence.val.roux,"roux"
ui.apparence.val.blond,"blond"
ui.apparence.val.argent,"argent"
ui.creation.d_apparence,"Un trait du visage ou de la silhouette : ← → pour en changer. La race donne le défaut — le nain est court et large et barbu, l'elfe élancé aux oreilles pointues."
ui.apparence.val.allongee,"allongée"
ui.apparence.val.en_coeur,"en cœur"
ui.apparence.val.en_amande,"en amande"
ui.apparence.val.tombants,"tombants"
ui.apparence.val.fin,"fin"
ui.apparence.val.busque,"busqué"
ui.apparence.val.boudeuse,"boudeuse"
ui.apparence.val.crete,"en crête"
ui.apparence.val.chignon,"en chignon"
ui.apparence.val.tresses,"en tresses"
ui.apparence.val.trapue,"trapue"
ui.apparence.val.athletique,"athlétique"
ui.apparence.val.olive,"olive"
ui.apparence.val.cuivre,"cuivre"
ui.apparence.val.porcelaine,"porcelaine"
ui.apparence.val.neige,"neige"
ui.apparence.val.acajou,"acajou"
ui.apparence.val.lin,"lin"
ui.apparence.val.encre_bleue,"encre bleue"
creature.tengu.name,Tengu
creature.banshee.name,Banshee
creature.troll.name,Troll
creature.nue.name,Nue
creature.jorogumo.name,Jorogumo
creature.lindworm.name,Lindworm
creature.ours_des_cavernes.name,Ours des cavernes
creature.essaim_de_chauves_souris.name,Essaim de chauves-souris
ui.apparence.taille,"Taille"
ui.apparence.sourcils,"Sourcils"
ui.apparence.barbe,"Barbe"
ui.apparence.marque,"Marque"
ui.apparence.val.petite,"petite"
ui.apparence.val.moyenne_t,"moyenne"
ui.apparence.val.grande,"grande"
ui.apparence.val.fins,"fins"
ui.apparence.val.epais,"épais"
ui.apparence.val.aucun,"aucun"
ui.apparence.val.aucune,"aucune"
ui.apparence.val.courte,"courte"
ui.apparence.val.longue,"longue"
ui.apparence.val.cicatrice,"cicatrice"
ui.apparence.val.tatouage,"tatouage"
ui.creation.stat_de,"  [dé {de}]"
ui.monde.option,"{nom} : {valeur} (← →)"
ui.monde.opt.monde_cellules,"Taille du monde"
ui.monde.opt.plaques,"Plaques tectoniques"
ui.monde.opt.continentales,"Part de plaques continentales"
ui.monde.opt.terres,"Part de terres émergées"
